brand,phonename,cpu,charging,waterproof,screen,characteristic,phonehref,img_url
['真我（realme）'],[' realme GT Neo5 '],['骁龙8+ Gen1'],['120-150W'],['生活防水'],['OLED直屏'],未知,https://item.jd.com/100052502353.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=16691541376c4df9ad6b767db300db78,https://img13.360buyimg.com/n1/s450x450_jfs/t1/187731/25/40426/48204/6532b1bdF19d434e9/583cd5045e350deb.jpg
['真我（realme）'],[' realme GT5 '],['骁龙8 Gen2'],['240W'],['生活防水'],['OLED直屏'],未知,https://item.jd.com/100065762621.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=18e2b599dc974f1698a60edb1fcd0542,https://img11.360buyimg.com/n1/s450x450_jfs/t1/228028/22/563/54638/6532af4cFf55e3537/f033fb6d754df169.jpg
['小米（MI）'],[' 小米12S Pro '],['骁龙8+ Gen1'],['120-150W'],['不支持防水'],['OLED曲面屏'],未知,https://item.jd.com/100027789697.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=8dc9fd239d3e4202b0853875697a624a,https://img12.360buyimg.com/n1/s450x450_jfs/t1/19237/15/17515/125075/62c2b412E8a402019/827e073c69bf4016.jpg
['荣耀（HONOR）'],[' 荣耀80 GT '],['骁龙8+ Gen1'],['50-79W'],['不支持防水'],['OLED直屏'],未知,https://item.jd.com/100040866876.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=93b197d3b7df438a8383352bd61c854f,https://img11.360buyimg.com/n1/s450x450_jfs/t1/234651/27/467/68256/65352796F2f435716/dadd50614874f2bd.jpg
['一加'],[' 一加Ace Pro '],['骁龙8+ Gen1'],['120-150W'],['IPX4'],['OLED直屏'],['屏幕指纹，5G，屏幕高刷新率，防水防尘，NFC'],https://item.jd.com/100044619380.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=af9b7494c09a4ba48775550076821939,https://img10.360buyimg.com/n1/s450x450_jfs/t1/142857/21/28692/264660/62ecd193E577fc9fd/c3c38aab8d35e5db.jpg
['vivo'],[' iQOO Neo8 '],['骁龙8+ Gen1'],['120-150W'],['IP53'],['OLED直屏'],['屏幕指纹，屏幕高刷新率，光学防抖拍照，NFC'],https://item.jd.com/100051092880.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=4b5f61aa62214c6c9aadd059ba5f1e78,https://img10.360buyimg.com/n1/s450x450_jfs/t1/181882/33/38903/75470/65378ca7F6e64c45d/321b9d4f3bf040a3.jpg
['小米（MI）'],[' Redmi K60E '],['天玑8200'],['50-79W'],['IP53'],['OLED直屏'],['屏幕高刷新率，光学防抖拍照，NFC，红外遥控'],https://item.jd.com/100051316897.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=e6236f2ee14140deac0929475343f886,https://img12.360buyimg.com/n1/s450x450_jfs/t1/96266/15/36360/31056/63aab37aFb96e223c/6e0da71c8ddd4368.jpg
['一加'],[' 一加Ace 2 '],['骁龙8+ Gen1'],['80-119W'],['IPX4'],['OLED曲面屏'],['屏幕指纹，屏幕高刷新率，防水防尘，NFC，红外遥控，大底主摄'],https://item.jd.com/100042508892.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=c18afb3fa0b249178584388348e03bb0,https://img12.360buyimg.com/n1/s450x450_jfs/t1/238383/4/593/76498/6539e944Fde6d0ffb/93f9cb872d8d9649.jpg
['一加'],[' 一加Ace 2V '],['天玑9000'],['80-119W'],['IPX4'],['OLED直屏'],['屏幕指纹，屏幕高刷新率，防水防尘，NFC，红外遥控，大底主摄'],https://item.jd.com/100053251673.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=163e93d1752d474b970a4cadad435cf8,https://img13.360buyimg.com/n1/s450x450_jfs/t1/132090/4/40594/66657/6537b33dF71348a38/0faf0c97ea78c691.jpg
['OPPO'],[' OPPO Reno9 Pro+ 5G '],['骁龙8+ Gen1'],['80-119W'],['生活防水'],['OLED曲面屏'],['屏幕指纹，NFC'],https://item.jd.com/100047126821.html?cu=true&utm_source=kong&utm_medium=tuiguang&utm_campaign=t_1000762869_&utm_term=4e8680b957c042748e5a4c33fa2583ff,https://img11.360buyimg.com/n1/s450x450_jfs/t1/97032/34/33664/54617/637ecd14Ebde3126c/b17f81ac4dd63d16.jpg
